Categories,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,3331788.149,4577527.764,3458508.259,4577134.579,3350845.72,4652084.83,3630453.157,4428601.778,3693497.008,4732702.975
automobile,4577527.764,4572350.307,4421248.522,5237038.056,4189306.643,5407481.607,4359446.806,5124795.627,4317245.847,4878578.426
bird,3458508.259,4421248.522,2916671.916,4040544.833,3050214.017,3983704.487,3224236.588,4093207.16,3667422.73,4532279.078
cat,4577134.579,5237038.056,4040544.833,4714462.21,4001883.407,4686489.617,4057071.849,4732205.502,4453617.734,5051417.032
deer,3350845.72,4189306.643,3050214.017,4001883.407,2824910.197,3987176.079,3189388.277,3853819.186,3353937.968,4231220.964
dog,4652084.83,5407481.607,3983704.487,4686489.617,3987176.079,4341686.958,4137389.444,4623033.27,4524100.494,5130355.718
frog,3630453.157,4359446.806,3224236.588,4057071.849,3189388.277,4137389.444,3115869.092,4181539.51,3691590.928,4427806.25
horse,4428601.778,5124795.627,4093207.16,4732205.502,3853819.186,4623033.27,4181539.51,4262915.603,4307932.14,4976368.131
ship,3693497.008,4317245.847,3667422.73,4453617.734,3353937.968,4524100.494,3691590.928,4307932.14,3302096.009,4345403.274
truck,4732702.975,4878578.426,4532279.078,5051417.032,4231220.964,5130355.718,4427806.25,4976368.131,4345403.274,4651158.937